Position,Display Rating,Total Rating,Date,Image,Model,Screen,Size,Resolution,PPI,Ratio,Surface,Color Temperature (CCT),Uniformity,PWM (Hz),Response Time B/W (ms),Response Time G/G (ms),Brightness avg.,Black Level,Contrast (max.),DeltaE Colorchecker,DeltaE Grayscale,Gamma,sRGB Coverage,Adobe RGB Coverage
34,92.1 %,88.5 %,03/2024,,HP Omen Transcend 14-fb0014,OLED,"14.00""",2880x1800,243 PPI,16:10,,6280,98 %,479,0.99,0.86,389 cd/m²,0 cd/m²,,4.03,1.2,2.25,,
35,92 %,89.2 %,02/2024,,Medion Erazer Beast X40 2024,IPS,"17.00""",2560x1600,178 PPI,16:10,matte,6581,87 %,0,6.9,11.7,388 cd/m²,0.42 cd/m²,1005:1,1.42,1.2,2.078,,
36,92 %,83.9 %,06/2024,,"Lenovo Legion 9 16IRX9, RTX 4090",MiniLED,"16.00""",3200x2000,236 PPI,16:10,matte,6135,91 %,5430,10,12.6,664 cd/m²,0.03 cd/m²,21033:1,2.68,2.71,2.27,,
37,91.9 %,88.6 %,01/2024,,Lenovo ThinkPad P16s G2 21K9000CGE,OLED,"16.00""",3840x2400,283 PPI,16:10,glossy,6574,98 %,60,1.3,1.5,421 cd/m²,0 cd/m²,,1.3,1.8,2.25,,
38,91.9 %,88.9 %,05/2024,,SCHENKER XMG Fusion 15 (Early 24),IPS,"15.30""",2560x1600,197 PPI,16:10,matte,6286,89 %,0,5.2,5,460 cd/m²,0.47 cd/m²,1045:1,2.16,3.3,2.204,,
39,91.8 %,87.1 %,03/2024,,Acer Predator Helios 18 PH18-72-98MW,Mini-LED,"18.00""",2560x1600,168 PPI,16:10,matte,7051,93 %,4832,17.6,8,724 cd/m²,0.04 cd/m²,18050:1,3.4,3.8,2.383,,
40,91.8 %,89.7 %,04/2024,,Xiaomi RedmiBook Pro 16 2024,IPS,"16.00""",3072x1920,226 PPI,16:9,matte,7422,93 %,0,14.6,39.2,510 cd/m²,0.35 cd/m²,1486:1,2.9,4.3,2.19,,
41,91.7 %,91.6 %,03/2024,,Apple MacBook Air 15 M3,IPS,"15.60""",2880x1664,,16:10,glossy,6865,92 %,0,15.6,35.3,506 cd/m²,0.37 cd/m²,1422:1,1.4,2.1,2.23,,
42,91.6 %,92.3 %,02/2024,,Asus ROG Zephyrus G16 2024 GU605M,OLED,"16.00""",2560x1600,189 PPI,16:10,glossy,6331,96 %,960,0.25,0.22,418 cd/m²,0 cd/m²,,1.6,2.7,2.16,,
43,91.6 %,88.3 %,05/2024,,Dell Precision 5690,OLED,"16.00""",3840x2400,283 PPI,16:10,,6198,97 %,60,1.7,1.7,351 cd/m²,0 cd/m²,,4.18,1.7,2.2,,
44,91.5 %,87.8 %,01/2024,,Lenovo ThinkPad P14s G4 21K5000LGE,IPS,"14.00""",1920x1200,162 PPI,16:10,matte,6227,89 %,0,30.7,45.9,392 cd/m²,0.26 cd/m²,1592:1,1.9,2.9,2.26,,
45,91.4 %,88.1 %,09/2023,,Lenovo ThinkPad E16 G1-21JUS08X00,IPS,"16.00""",2560x1600,189 PPI,16:10,matte,7038,91 %,0,19.6,32.4,389 cd/m²,0.24 cd/m²,1683:1,2.1,3.3,2.24,,
46,91.4 %,86.8 %,05/2024,,Acer Predator Helios Neo 16 (2024),LED,"16.00""",2560x1600,189 PPI,16:10,matte,6816,85 %,0,8.8,5,506 cd/m²,0.44 cd/m²,1184:1,1.74,3,2.164,,
47,91.3 %,87.5 %,10/2023,,Framework Laptop 13.5 Ryzen 7 7840U,IPS,"13.50""",2256x1504,201 PPI,3:2,,6784,89 %,0,31.5,50.4,416 cd/m²,0.36 cd/m²,1211:1,1.81,2.9,2.27,,
48,91.3 %,90.4 %,11/2023,,Apple MacBook Pro 14 2023 M3,Mini-LED,"14.20""",3024x1964,254 PPI,16:10,glossy,6964,93 %,14878,75.2,69,605 cd/m²,0 cd/m²,,2.9,3.6,2.44,,
49,91.3 %,88.8 %,01/2024,,MSI Titan 18 HX A14VIG,Mini-LED,"18.00""",3840x2400,252 PPI,16:10,matte,6478,90 %,2592,81.8,8.6,459 cd/m²,0 cd/m²,,3.77,3.2,2.43,,
50,91.2 %,88.6 %,12/2023,,Lenovo Yoga Pro 7 14APH G8,IPS,"14.50""",2560x1600,208 PPI,16:10,matte,6929,88 %,0,28.2,43.6,348 cd/m²,0.22 cd/m²,1623:1,2,2.7,2.15,,
